Year,Region,Household Type,Measure,Value,Flags
"2002","Northland Region","Couple with two dependent children","Median Wage and Salary Income",729,
"2003","Northland Region","Couple with two dependent children","Median Wage and Salary Income",660,
"2004","Northland Region","Couple with two dependent children","Median Wage and Salary Income",671,
"2005","Northland Region","Couple with two dependent children","Median Wage and Salary Income",873,
"2006","Northland Region","Couple with two dependent children","Median Wage and Salary Income",671,
"2007","Northland Region","Couple with two dependent children","Median Wage and Salary Income",499,
"2008","Northland Region","Couple with two dependent children","Median Wage and Salary Income",666,
"2009","Northland Region","Couple with two dependent children","Median Wage and Salary Income",940,
"2010","Northland Region","Couple with two dependent children","Median Wage and Salary Income",1016,
"2011","Northland Region","Couple with two dependent children","Median Wage and Salary Income",1010,
"2012","Northland Region","Couple with two dependent children","Median Wage and Salary Income",1093,
"2013","Northland Region","Couple with two dependent children","Median Wage and Salary Income",1151,
"2014","Northland Region","Couple with two dependent children","Median Wage and Salary Income",1192,
"2015","Northland Region","Couple with two dependent children","Median Wage and Salary Income",1247,
"2016","Northland Region","Couple with two dependent children","Median Wage and Salary Income",1305,
"2017","Northland Region","Couple with two dependent children","Median Wage and Salary Income",1705,
"2018","Northland Region","Couple with two dependent children","Median Wage and Salary Income",1774,
"1998","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"1999","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2000","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2001","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2002","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2003","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2004","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2005","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2006","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2007","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2008","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2009","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2010","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2011","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2012","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2013","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2014","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2015","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2016","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2017","Northland Region","Couple with two dependent children","Median Self-employment Income",0,
"2018","Northland Region","Couple with two dependent children","Median Self-employment Income",1,
"1998","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"1999","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2000","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2001","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2002","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2003","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2004","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2005","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2006","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2007","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2008","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2009","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2010","Northland Region","Couple with two dependent children","Median Government Transfer Income",42,
"2011","Northland Region","Couple with two dependent children","Median Government Transfer Income",38,
"2012","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2013","Northland Region","Couple with two dependent children","Median Government Transfer Income",30,
"2014","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2015","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2016","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2017","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2018","Northland Region","Couple with two dependent children","Median Government Transfer Income",0,
"1998","Northland Region","Couple with two dependent children","Number of households (000)",5.8,
"1999","Northland Region","Couple with two dependent children","Number of households (000)",5.6,
"2000","Northland Region","Couple with two dependent children","Number of households (000)",4.9,
"2001","Northland Region","Couple with two dependent children","Number of households (000)",5.2,
"2002","Northland Region","Couple with two dependent children","Number of households (000)",5.3,
"2003","Northland Region","Couple with two dependent children","Number of households (000)",4.9,
"2004","Northland Region","Couple with two dependent children","Number of households (000)",5.6,
"2005","Northland Region","Couple with two dependent children","Number of households (000)",5.4,
"2006","Northland Region","Couple with two dependent children","Number of households (000)",5.9,
"2007","Northland Region","Couple with two dependent children","Number of households (000)",5.8,
"2008","Northland Region","Couple with two dependent children","Number of households (000)",5.2,
"2009","Northland Region","Couple with two dependent children","Number of households (000)",7,
"2010","Northland Region","Couple with two dependent children","Number of households (000)",6.9,
"2011","Northland Region","Couple with two dependent children","Number of households (000)",5.7,
"2012","Northland Region","Couple with two dependent children","Number of households (000)",5.4,
"2013","Northland Region","Couple with two dependent children","Number of households (000)",4.7,
"2014","Northland Region","Couple with two dependent children","Number of households (000)",5.7,
"2015","Northland Region","Couple with two dependent children","Number of households (000)",3.7,
"2016","Northland Region","Couple with two dependent children","Number of households (000)",5.1,
"2017","Northland Region","Couple with two dependent children","Number of households (000)",4.4,
"2018","Northland Region","Couple with two dependent children","Number of households (000)",3.7,
"1998","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",729,
"1999","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",740,
"2000","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",835,
"2001","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",852,
"2002","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",997,
"2003","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1020,
"2004","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1005,
"2005","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1055,
"2006","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1110,
"2007","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1060,
"2008","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1127,
"2009","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1436,
"2010","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1422,
"2011","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1415,
"2012","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1463,
"2013","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1438,
"2014","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1542,
"2015","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1630,
"2016","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1649,
"2017","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1764,
"2018","Auckland Region","Couple with two dependent children","Median Wage and Salary Income",1726,
"1998","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"1999","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2000","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2001","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2002","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2003","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2004","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2005","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2006","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2007","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2008","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2009","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2010","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2011","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2012","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2013","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2014","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2015","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2016","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2017","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"2018","Auckland Region","Couple with two dependent children","Median Self-employment Income",0,
"1998","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"1999","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2000","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2001","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2002","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2003","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2004","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2005","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2006","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2007","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2008","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2009","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2010","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2011","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2012","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2013","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2014","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2015","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2016","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2017","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"2018","Auckland Region","Couple with two dependent children","Median Government Transfer Income",0,
"1998","Auckland Region","Couple with two dependent children","Number of households (000)",46.1,
"1999","Auckland Region","Couple with two dependent children","Number of households (000)",39.7,
"2000","Auckland Region","Couple with two dependent children","Number of households (000)",46.2,
"2001","Auckland Region","Couple with two dependent children","Number of households (000)",40.9,
"2002","Auckland Region","Couple with two dependent children","Number of households (000)",42.3,
"2003","Auckland Region","Couple with two dependent children","Number of households (000)",47,
"2004","Auckland Region","Couple with two dependent children","Number of households (000)",53.4,
"2005","Auckland Region","Couple with two dependent children","Number of households (000)",53.7,
"2006","Auckland Region","Couple with two dependent children","Number of households (000)",49.1,
"2007","Auckland Region","Couple with two dependent children","Number of households (000)",46.2,
"2008","Auckland Region","Couple with two dependent children","Number of households (000)",43.5,
"2009","Auckland Region","Couple with two dependent children","Number of households (000)",43.6,
"2010","Auckland Region","Couple with two dependent children","Number of households (000)",47,
"2011","Auckland Region","Couple with two dependent children","Number of households (000)",53,
"2012","Auckland Region","Couple with two dependent children","Number of households (000)",52.8,
"2013","Auckland Region","Couple with two dependent children","Number of households (000)",52.5,
"2014","Auckland Region","Couple with two dependent children","Number of households (000)",47.9,
"2015","Auckland Region","Couple with two dependent children","Number of households (000)",55.6,
"2016","Auckland Region","Couple with two dependent children","Number of households (000)",56.4,
"2017","Auckland Region","Couple with two dependent children","Number of households (000)",58.2,
"2018","Auckland Region","Couple with two dependent children","Number of households (000)",55.8,
"1998","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",660,
"1999","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",584,
"2000","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",526,
"2001","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",575,
"2002","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",719,
"2003","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",788,
"2004","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",850,
"2005","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",997,
"2006","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",1002,
"2007","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",1078,
"2008","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",1151,
"2009","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",1079,
"2010","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",1112,
"2011","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",1150,
"2012","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",1159,
"2013","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",1265,
"2014","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",1200,
"2015","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",1407,
"2016","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",1726,
"2017","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",1605,
"2018","Waikato Region","Couple with two dependent children","Median Wage and Salary Income",1726,
"1998","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"1999","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2000","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2001","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2002","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2003","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2004","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2005","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2006","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2007","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2008","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2009","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2010","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2011","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2012","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2013","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2014","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2015","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2016","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2017","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"2018","Waikato Region","Couple with two dependent children","Median Self-employment Income",0,
"1998","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"1999","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2000","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2001","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2002","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2003","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2004","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2005","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2006","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2007","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2008","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2009","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2010","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2011","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2012","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2013","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2014","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2015","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2016","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2017","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"2018","Waikato Region","Couple with two dependent children","Median Government Transfer Income",0,
"1998","Waikato Region","Couple with two dependent children","Number of households (000)",11.9,
"1999","Waikato Region","Couple with two dependent children","Number of households (000)",13.8,
"2000","Waikato Region","Couple with two dependent children","Number of households (000)",12.1,
"2001","Waikato Region","Couple with two dependent children","Number of households (000)",13.5,
"2002","Waikato Region","Couple with two dependent children","Number of households (000)",12.6,
"2003","Waikato Region","Couple with two dependent children","Number of households (000)",14.1,
"2004","Waikato Region","Couple with two dependent children","Number of households (000)",15,
"2005","Waikato Region","Couple with two dependent children","Number of households (000)",14.9,
"2006","Waikato Region","Couple with two dependent children","Number of households (000)",14.8,
"2007","Waikato Region","Couple with two dependent children","Number of households (000)",13.8,
"2008","Waikato Region","Couple with two dependent children","Number of households (000)",14.8,
"2009","Waikato Region","Couple with two dependent children","Number of households (000)",16.1,
"2010","Waikato Region","Couple with two dependent children","Number of households (000)",15.1,
"2011","Waikato Region","Couple with two dependent children","Number of households (000)",13.8,
"2012","Waikato Region","Couple with two dependent children","Number of households (000)",14.6,
"2013","Waikato Region","Couple with two dependent children","Number of households (000)",15.1,
"2014","Waikato Region","Couple with two dependent children","Number of households (000)",15.3,
"2015","Waikato Region","Couple with two dependent children","Number of households (000)",14.4,
"2016","Waikato Region","Couple with two dependent children","Number of households (000)",16.2,
"2017","Waikato Region","Couple with two dependent children","Number of households (000)",17.5,
"2018","Waikato Region","Couple with two dependent children","Number of households (000)",16.7,
"1998","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",530,
"1999","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",644,
"2000","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",750,
"2001","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",650,
"2002","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",807,
"2003","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",764,
"2004","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",930,
"2005","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",873,
"2006","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",1000,
"2007","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",1027,
"2008","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",993,
"2009","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",1130,
"2010","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",1054,
"2011","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",1000,
"2012","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",1189,
"2013","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",1201,
"2014","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",1243,
"2015","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",1291,
"2016","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",1116,
"2017","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",1496,
"2018","Bay of Plenty Region","Couple with two dependent children","Median Wage and Salary Income",1540,
"1998","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"1999","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2000","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2001","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2002","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2003","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2004","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2005","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2006","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2007","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2008","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2009","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2010","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2011","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2012","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2013","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2014","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2015","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2016","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2017","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"2018","Bay of Plenty Region","Couple with two dependent children","Median Self-employment Income",0,
"1998","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"1999","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2000","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2001","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2002","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2003","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2004","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2005","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2006","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2007","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2008","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2009","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2010","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2011","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",20,
"2012","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2013","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2014","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2015","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2016","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2017","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"2018","Bay of Plenty Region","Couple with two dependent children","Median Government Transfer Income",0,
"1998","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",7.6,
"1999","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",10.3,
"2000","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",9.5,
"2001","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",9,
"2002","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",9,
"2003","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",8.5,
"2004","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",8.5,
"2005","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",9.8,
"2006","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",11.3,
"2007","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",9.9,
"2008","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",10.7,
"2009","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",10.1,
"2010","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",9.5,
"2011","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",9.6,
"2012","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",8,
"2013","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",8.4,
"2014","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",9.3,
"2015","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",11.5,
"2016","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",11.2,
"2017","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",10.7,
"2018","Bay of Plenty Region","Couple with two dependent children","Number of households (000)",10.3,
"1998","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",560,
"1999","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",638,
"2000","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",739,
"2001","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",860,
"2002","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",875,
"2003","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",788,
"2004","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",825,
"2005","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",929,
"2006","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",1008,
"2007","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",948,
"2008","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",1143,
"2009","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",1077,
"2010","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",1061,
"2011","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",978,
"2012","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",1093,
"2013","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",1036,
"2014","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",1254,
"2015","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",1337,
"2016","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",1488,
"2017","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",1440,
"2018","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Wage and Salary Income",1472,
"1998","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"1999","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2000","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2001","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2002","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2003","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2004","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2005","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2006","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2007","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2008","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2009","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2010","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2011","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2012","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2013","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2014","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2015","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2016","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2017","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"2018","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Self-employment Income",0,
"1998","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"1999","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"2000","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"2001","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
